external_id,email,push_enabled,marketing_opt_in,signup_date,country,attribution_source,last_purchase_at,purchase_count_90d,purchase_amount_90d,last_session_at,_segment_truth
u_000933,u_000933@example.com,0,0,2023-11-11,KR,naver_search,2025-01-06,10,924570,2025-03-29,Loyal
u_001072,u_001072@example.com,0,0,2023-04-27,KR,googleadwords_int,2025-01-28,9,993203,2025-03-30,Loyal
u_004552,u_004552@example.com,0,0,2022-10-31,기타,googleadwords_int,2024-12-01,0,0,2025-02-28,Hibernating
u_001905,u_001905@example.com,1,1,2023-08-19,KR,Facebook Ads,2025-02-08,6,517905,2025-03-28,Loyal
u_010730,u_010730@example.com,1,1,2025-03-22,KR,Facebook Ads,,0,0,2025-03-30,New
u_012476,u_012476@example.com,1,1,2023-03-03,KR,googleadwords_int,2025-01-23,3,347168,2025-03-16,Potential
u_007684,u_007684@example.com,0,1,2023-09-04,기타,naver_search,,0,0,2024-06-21,Lost
u_008146,u_008146@example.com,1,1,2024-03-11,KR,Facebook Ads,,0,0,2024-04-01,Lost
u_000995,u_000995@example.com,1,1,2024-08-08,KR,organic,2025-02-27,9,717466,2025-03-23,Loyal
u_011075,u_011075@example.com,0,1,2025-03-14,KR,referral,,0,0,2025-03-31,New
u_011330,u_011330@example.com,1,1,2025-03-14,KR,organic,,0,0,2025-03-31,New
u_004430,u_004430@example.com,1,1,2024-02-10,KR,organic,2024-12-17,0,0,2025-02-03,At-Risk
u_011098,u_011098@example.com,1,1,2025-03-06,KR,googleadwords_int,2025-03-15,1,75309,2025-03-25,New
u_006033,u_006033@example.com,1,1,2023-10-18,KR,Facebook Ads,2024-04-10,0,0,2024-05-24,Lost
u_001384,u_001384@example.com,1,1,2024-09-18,KR,Facebook Ads,2025-02-20,6,322743,2025-03-29,Loyal
u_014959,u_014959@example.com,1,1,2023-10-11,KR,naver_search,2025-02-08,3,202922,2025-01-03,Potential
u_000222,u_000222@example.com,0,1,2023-06-02,KR,organic,2025-03-01,9,1625080,2025-03-26,Champion
u_002420,u_002420@example.com,1,0,2022-09-14,KR,googleadwords_int,2024-10-15,0,0,2025-01-02,At-Risk
u_011280,u_011280@example.com,1,0,2025-03-03,KR,Facebook Ads,2025-03-29,1,37262,2025-03-28,New
u_006981,u_006981@example.com,1,1,2023-02-26,KR,Facebook Ads,2024-08-17,0,0,2024-07-19,Lost
u_000427,u_000427@example.com,0,0,2023-09-24,KR,googleadwords_int,2025-02-24,10,1353663,2025-03-22,Champion
u_010843,u_010843@example.com,1,1,2025-03-09,KR,Facebook Ads,,0,0,2025-03-25,New
u_001003,u_001003@example.com,1,0,2023-07-10,KR,googleadwords_int,2025-01-29,4,446276,2025-03-23,Loyal
u_010683,u_010683@example.com,1,0,2025-03-11,KR,Facebook Ads,,0,0,2025-03-24,New
u_002315,u_002315@example.com,1,1,2024-08-16,KR,organic,2024-11-02,0,0,2025-02-16,At-Risk
u_013691,u_013691@example.com,1,1,2022-10-21,KR,googleadwords_int,2025-01-23,1,108961,2025-02-25,Potential
u_003210,u_003210@example.com,1,1,2024-10-17,KR,Facebook Ads,2024-11-06,0,0,2025-02-22,At-Risk
u_011216,u_011216@example.com,1,1,2025-03-11,KR,organic,2025-03-29,1,38293,2025-03-25,New
u_009601,u_009601@example.com,1,1,2023-05-14,KR,googleadwords_int,2024-09-25,0,0,2024-09-18,Lost
u_002798,u_002798@example.com,0,1,2023-03-29,KR,googleadwords_int,2024-11-05,0,0,2025-02-01,At-Risk
u_003017,u_003017@example.com,0,0,2024-03-20,US,Facebook Ads,2024-12-05,0,0,2025-01-31,At-Risk
u_014999,u_014999@example.com,1,0,2024-07-25,US,naver_search,2025-01-16,3,234814,2025-02-24,Potential
u_011740,u_011740@example.com,1,1,2023-01-01,JP,organic,2024-12-30,0,0,2025-01-27,Potential
u_013768,u_013768@example.com,1,1,2024-07-30,KR,organic,2024-11-07,0,0,2025-01-22,Potential
u_001888,u_001888@example.com,1,1,2022-04-17,KR,googleadwords_int,2025-01-21,4,560196,2025-03-28,Loyal
u_012774,u_012774@example.com,0,0,2023-12-06,KR,googleadwords_int,2025-01-23,1,57936,2025-01-10,Potential
u_013982,u_013982@example.com,0,1,2024-08-11,KR,referral,2024-12-08,0,0,2025-01-03,Potential
u_004861,u_004861@example.com,1,0,2024-06-08,JP,organic,2024-12-11,0,0,2024-12-18,Hibernating
u_012115,u_012115@example.com,1,1,2024-10-20,KR,googleadwords_int,2025-01-27,1,107913,2025-02-20,Potential
u_005294,u_005294@example.com,1,1,2024-11-12,KR,organic,2024-11-16,0,0,2024-12-06,Hibernating
u_002297,u_002297@example.com,1,1,2024-10-05,KR,googleadwords_int,2024-10-29,0,0,2025-02-27,At-Risk
u_000537,u_000537@example.com,1,1,2024-04-06,KR,googleadwords_int,2025-03-07,7,1195008,2025-03-31,Champion
u_010349,u_010349@example.com,1,1,2024-12-11,KR,Facebook Ads,2024-05-10,0,0,2024-09-24,Lost
u_010774,u_010774@example.com,1,1,2025-03-09,KR,organic,,0,0,2025-03-21,New
u_009694,u_009694@example.com,1,1,2024-01-16,KR,Facebook Ads,,0,0,2024-09-05,Lost
u_014375,u_014375@example.com,0,1,2023-07-06,KR,googleadwords_int,2024-11-12,0,0,2025-03-03,Potential
u_001431,u_001431@example.com,1,1,2022-11-14,KR,Facebook Ads,2025-01-13,7,824184,2025-03-23,Loyal
u_013399,u_013399@example.com,1,1,2022-10-10,KR,Facebook Ads,2025-02-10,1,108157,2025-02-16,Potential
u_003946,u_003946@example.com,0,0,2022-09-25,KR,Facebook Ads,2024-12-12,0,0,2025-02-23,At-Risk
u_008331,u_008331@example.com,1,0,2024-09-30,KR,Facebook Ads,2024-02-09,0,0,2024-08-09,Lost
u_008805,u_008805@example.com,1,1,2024-03-19,KR,referral,2024-09-30,0,0,2024-08-02,Lost
u_010032,u_010032@example.com,1,1,2024-02-28,KR,naver_search,2024-09-20,0,0,2024-05-10,Lost
u_003609,u_003609@example.com,0,0,2022-10-13,KR,Facebook Ads,2024-11-13,0,0,2025-02-20,At-Risk
u_011594,u_011594@example.com,1,1,2025-03-29,KR,organic,2025-03-19,1,57970,2025-03-28,New
u_012815,u_012815@example.com,1,0,2022-09-19,KR,referral,2025-02-18,1,125315,2025-01-09,Potential
u_009713,u_009713@example.com,1,1,2024-11-19,KR,naver_search,2024-03-15,0,0,2024-03-07,Lost
u_007305,u_007305@example.com,1,1,2024-11-18,KR,Facebook Ads,2024-08-13,0,0,2024-04-17,Lost
u_003802,u_003802@example.com,1,0,2024-11-19,KR,googleadwords_int,2024-12-11,0,0,2025-02-04,At-Risk
u_012966,u_012966@example.com,1,1,2024-02-25,KR,naver_search,2025-02-11,3,353228,2025-03-12,Potential
u_007467,u_007467@example.com,1,0,2022-10-10,KR,googleadwords_int,2024-06-07,0,0,2024-08-21,Lost
u_000206,u_000206@example.com,1,1,2024-08-06,KR,organic,2025-03-01,5,1245451,2025-03-25,Champion
u_000893,u_000893@example.com,1,0,2024-07-17,KR,Facebook Ads,2025-02-04,8,885576,2025-03-29,Loyal
u_009980,u_009980@example.com,1,1,2022-06-07,KR,naver_search,2024-06-27,0,0,2024-09-25,Lost
u_012199,u_012199@example.com,1,1,2024-12-19,KR,referral,2024-11-09,0,0,2025-01-09,Potential
u_008057,u_008057@example.com,1,1,2023-12-27,KR,Facebook Ads,2024-09-21,0,0,2024-05-24,Lost
u_011803,u_011803@example.com,0,1,2022-05-06,KR,naver_search,2024-11-15,0,0,2025-02-12,Potential
u_013107,u_013107@example.com,1,0,2024-01-26,KR,googleadwords_int,2025-02-17,2,195564,2025-02-22,Potential
u_008460,u_008460@example.com,1,1,2023-08-16,KR,Facebook Ads,2024-06-08,0,0,2024-08-16,Lost
u_012372,u_012372@example.com,0,1,2024-02-10,KR,naver_search,2025-01-15,2,202224,2025-03-11,Potential
u_006144,u_006144@example.com,1,1,2022-11-22,KR,Facebook Ads,,0,0,2024-09-12,Lost
u_007294,u_007294@example.com,1,0,2022-04-13,KR,naver_search,2024-07-11,0,0,2024-05-19,Lost
u_013200,u_013200@example.com,1,0,2022-08-10,KR,naver_search,2024-11-06,0,0,2025-03-03,Potential
u_006528,u_006528@example.com,0,1,2024-08-04,KR,googleadwords_int,2024-06-23,0,0,2024-06-04,Lost
u_011273,u_011273@example.com,1,0,2025-03-24,KR,Facebook Ads,,0,0,2025-03-24,New
u_002571,u_002571@example.com,0,1,2024-05-15,KR,organic,2024-12-02,0,0,2025-01-09,At-Risk
u_014120,u_014120@example.com,1,0,2022-07-01,KR,organic,2025-02-20,3,159820,2025-01-11,Potential
u_003008,u_003008@example.com,1,0,2022-11-11,KR,organic,2024-11-25,0,0,2025-01-04,At-Risk
u_005182,u_005182@example.com,1,1,2022-08-12,KR,Facebook Ads,2024-11-23,0,0,2025-01-22,Hibernating
u_010831,u_010831@example.com,1,0,2025-03-25,KR,naver_search,2025-03-10,1,38328,2025-03-28,New
u_000878,u_000878@example.com,0,1,2024-12-19,KR,naver_search,2025-01-05,5,635580,2025-03-30,Loyal
u_006742,u_006742@example.com,1,0,2024-12-28,KR,Facebook Ads,2024-08-29,0,0,2024-06-10,Lost
u_013454,u_013454@example.com,1,1,2024-03-30,기타,organic,2025-01-13,3,170139,2025-01-10,Potential
u_001923,u_001923@example.com,1,1,2024-12-28,KR,organic,2025-01-31,6,835375,2025-03-24,Loyal
u_008698,u_008698@example.com,0,0,2022-12-17,기타,naver_search,2024-05-27,0,0,2024-08-03,Lost
u_000572,u_000572@example.com,1,1,2024-03-21,KR,organic,2025-03-12,9,1967310,2025-03-27,Champion
u_012292,u_012292@example.com,1,1,2024-11-25,KR,Facebook Ads,2025-02-18,3,294747,2025-02-09,Potential
u_013776,u_013776@example.com,1,1,2025-01-06,KR,Facebook Ads,2025-02-21,1,86911,2025-02-17,Potential
u_001450,u_001450@example.com,1,1,2023-04-23,KR,Facebook Ads,2025-02-20,10,1146974,2025-03-27,Loyal
u_004727,u_004727@example.com,1,1,2024-03-14,KR,googleadwords_int,2024-12-04,0,0,2025-02-06,Hibernating
u_008707,u_008707@example.com,1,1,2023-11-19,KR,Facebook Ads,,0,0,2024-08-07,Lost
u_006019,u_006019@example.com,0,0,2022-11-28,KR,organic,2024-09-26,0,0,2024-07-26,Lost
u_008190,u_008190@example.com,1,1,2022-11-27,KR,organic,2024-03-06,0,0,2024-07-17,Lost
u_013598,u_013598@example.com,1,1,2023-04-16,KR,Facebook Ads,2025-02-09,2,140871,2025-03-14,Potential
u_001568,u_001568@example.com,0,0,2023-12-28,JP,organic,2025-01-27,7,826144,2025-03-26,Loyal
u_004657,u_004657@example.com,1,1,2023-02-20,KR,referral,2024-12-08,0,0,2024-12-03,Hibernating
u_011285,u_011285@example.com,1,1,2025-03-06,KR,Facebook Ads,,0,0,2025-03-27,New
u_001176,u_001176@example.com,0,1,2023-12-29,KR,googleadwords_int,2025-01-31,4,335495,2025-03-21,Loyal
u_000130,u_000130@example.com,1,1,2024-03-24,JP,naver_search,2025-02-04,11,2623897,2025-03-27,Champion
u_014578,u_014578@example.com,1,1,2023-04-22,KR,organic,2025-01-30,2,233911,2025-03-22,Potential
u_012395,u_012395@example.com,1,0,2023-09-14,KR,organic,2024-11-04,0,0,2025-03-24,Potential
u_012763,u_012763@example.com,1,1,2022-06-02,KR,Facebook Ads,2024-12-02,0,0,2025-03-03,Potential
u_004700,u_004700@example.com,1,0,2024-08-12,KR,organic,2024-11-03,0,0,2025-02-09,Hibernating
u_008158,u_008158@example.com,0,0,2022-07-22,KR,organic,2024-04-01,0,0,2024-03-07,Lost
u_006802,u_006802@example.com,1,0,2023-08-20,KR,referral,2024-06-13,0,0,2024-09-24,Lost
u_009139,u_009139@example.com,1,1,2023-11-12,KR,naver_search,2024-06-19,0,0,2024-05-29,Lost
u_002642,u_002642@example.com,1,0,2023-06-01,KR,naver_search,2024-10-30,0,0,2025-02-24,At-Risk
u_004770,u_004770@example.com,1,0,2023-08-07,KR,organic,2024-10-20,0,0,2025-02-08,Hibernating
u_001998,u_001998@example.com,1,1,2022-06-11,KR,naver_search,2025-01-19,6,709844,2025-03-26,Loyal
u_006505,u_006505@example.com,1,1,2024-11-28,KR,Facebook Ads,,0,0,2024-07-31,Lost
u_003179,u_003179@example.com,0,0,2022-07-04,KR,googleadwords_int,2024-12-09,0,0,2025-01-19,At-Risk
u_008083,u_008083@example.com,1,1,2022-08-10,JP,naver_search,,0,0,2024-07-28,Lost
u_002550,u_002550@example.com,1,1,2022-04-03,KR,naver_search,2024-10-27,0,0,2024-12-03,At-Risk
u_011274,u_011274@example.com,0,0,2025-03-05,KR,Facebook Ads,,0,0,2025-03-21,New
u_000629,u_000629@example.com,1,1,2024-02-17,KR,googleadwords_int,2025-03-26,10,1731549,2025-03-26,Champion
u_010504,u_010504@example.com,1,1,2025-03-21,KR,Facebook Ads,,0,0,2025-03-23,New
u_012715,u_012715@example.com,1,0,2024-09-04,KR,Facebook Ads,2024-11-22,0,0,2025-02-01,Potential
u_000725,u_000725@example.com,1,1,2023-05-26,KR,naver_search,2025-03-10,6,1248842,2025-03-31,Champion
u_004327,u_004327@example.com,1,1,2023-10-21,KR,organic,2024-11-19,0,0,2025-02-15,At-Risk
u_014469,u_014469@example.com,0,1,2024-04-12,KR,organic,2025-01-09,3,217046,2025-03-04,Potential
u_013773,u_013773@example.com,1,1,2022-05-19,KR,Facebook Ads,2024-11-27,0,0,2025-01-29,Potential
u_011104,u_011104@example.com,1,1,2025-03-11,KR,Facebook Ads,2025-03-30,1,47823,2025-03-23,New
u_012801,u_012801@example.com,0,1,2022-08-10,KR,organic,2025-02-02,2,162719,2025-03-01,Potential
u_000948,u_000948@example.com,1,1,2023-04-07,KR,referral,2025-02-07,5,339326,2025-03-21,Loyal
u_011160,u_011160@example.com,1,1,2025-03-05,기타,organic,,0,0,2025-03-28,New
u_014415,u_014415@example.com,1,0,2022-04-01,KR,organic,2025-01-27,2,143034,2025-03-06,Potential
u_003872,u_003872@example.com,0,0,2022-12-16,KR,naver_search,2024-11-26,0,0,2024-12-28,At-Risk
u_009793,u_009793@example.com,0,1,2022-05-04,KR,googleadwords_int,,0,0,2024-06-01,Lost
u_000690,u_000690@example.com,0,1,2023-12-11,KR,Facebook Ads,2025-03-21,9,1579142,2025-03-24,Champion
u_011194,u_011194@example.com,1,1,2025-03-18,KR,googleadwords_int,2025-03-22,1,19394,2025-03-31,New
u_010996,u_010996@example.com,1,0,2025-03-07,KR,Facebook Ads,,0,0,2025-03-22,New
u_001595,u_001595@example.com,1,0,2023-10-26,KR,googleadwords_int,2025-01-23,6,647899,2025-03-26,Loyal
u_001878,u_001878@example.com,1,0,2022-10-29,KR,referral,2025-02-19,7,863750,2025-03-28,Loyal
u_001254,u_001254@example.com,0,0,2023-11-14,KR,googleadwords_int,2025-01-22,10,565264,2025-03-31,Loyal
u_005881,u_005881@example.com,1,0,2022-04-30,KR,naver_search,2024-12-03,0,0,2024-12-12,Hibernating
u_014614,u_014614@example.com,1,1,2023-12-09,KR,organic,2025-01-24,3,308459,2025-03-02,Potential
u_007476,u_007476@example.com,1,1,2024-02-10,KR,googleadwords_int,2024-04-01,0,0,2024-05-07,Lost
u_011002,u_011002@example.com,1,0,2025-03-24,KR,organic,,0,0,2025-03-30,New
u_013894,u_013894@example.com,1,1,2023-05-17,KR,googleadwords_int,2024-12-24,0,0,2025-02-22,Potential
u_008222,u_008222@example.com,1,1,2024-12-16,KR,naver_search,,0,0,2024-02-29,Lost
u_014763,u_014763@example.com,1,1,2023-12-01,KR,naver_search,2024-12-25,0,0,2025-03-13,Potential
u_013005,u_013005@example.com,0,0,2024-11-10,KR,Facebook Ads,2024-11-02,0,0,2025-03-26,Potential
u_014064,u_014064@example.com,1,1,2024-01-16,KR,googleadwords_int,2025-01-25,2,238216,2025-01-19,Potential
u_002117,u_002117@example.com,0,0,2022-10-27,KR,googleadwords_int,2025-02-25,4,327452,2025-03-27,Loyal
u_011578,u_011578@example.com,1,0,2025-03-03,KR,organic,2025-03-27,1,48435,2025-03-31,New
u_014360,u_014360@example.com,0,0,2022-10-06,KR,googleadwords_int,2025-01-14,3,181533,2025-02-25,Potential
u_014906,u_014906@example.com,0,0,2024-04-17,KR,organic,2025-01-11,2,74438,2025-01-08,Potential
u_014946,u_014946@example.com,0,1,2023-10-31,JP,referral,2025-02-18,3,344481,2025-01-24,Potential
u_007331,u_007331@example.com,0,0,2022-11-30,KR,organic,2024-09-04,0,0,2024-09-18,Lost
u_002667,u_002667@example.com,0,1,2023-03-23,KR,googleadwords_int,2024-10-30,0,0,2024-12-20,At-Risk
u_009497,u_009497@example.com,1,1,2024-12-22,KR,naver_search,,0,0,2024-08-23,Lost
u_001679,u_001679@example.com,0,0,2022-04-19,KR,organic,2025-02-06,10,657071,2025-03-24,Loyal
u_004326,u_004326@example.com,1,0,2024-04-26,KR,googleadwords_int,2024-12-19,0,0,2025-01-22,At-Risk
u_008026,u_008026@example.com,1,0,2024-04-28,KR,Facebook Ads,2024-04-10,0,0,2024-09-27,Lost
u_009435,u_009435@example.com,1,0,2024-11-10,KR,Facebook Ads,2024-06-23,0,0,2024-05-05,Lost
u_008722,u_008722@example.com,0,1,2023-06-23,KR,Facebook Ads,,0,0,2024-09-16,Lost
u_003294,u_003294@example.com,1,0,2022-09-18,KR,Facebook Ads,2024-11-24,0,0,2025-01-22,At-Risk
u_010249,u_010249@example.com,1,0,2023-04-07,KR,organic,2024-02-05,0,0,2024-09-03,Lost
u_013634,u_013634@example.com,1,0,2023-02-05,KR,Facebook Ads,2025-02-15,1,58121,2025-01-26,Potential
u_002397,u_002397@example.com,0,0,2023-01-26,US,organic,2024-10-09,0,0,2025-01-05,At-Risk
u_002871,u_002871@example.com,1,1,2024-05-03,KR,Facebook Ads,2024-10-23,0,0,2025-02-23,At-Risk
u_005990,u_005990@example.com,1,0,2023-02-27,KR,googleadwords_int,2024-11-29,0,0,2025-02-04,Hibernating
u_001226,u_001226@example.com,1,1,2022-08-19,KR,organic,2025-02-21,4,583680,2025-03-31,Loyal
u_009336,u_009336@example.com,1,1,2023-05-24,KR,naver_search,2024-09-14,0,0,2024-07-26,Lost
u_012402,u_012402@example.com,1,0,2023-04-30,KR,Facebook Ads,2024-11-07,0,0,2025-02-22,Potential
u_002274,u_002274@example.com,1,1,2023-01-21,KR,naver_search,2024-10-28,0,0,2025-01-17,At-Risk
u_013134,u_013134@example.com,0,0,2023-10-14,KR,referral,2025-01-07,2,129657,2025-03-19,Potential
u_001018,u_001018@example.com,1,1,2024-03-07,KR,Facebook Ads,2025-01-11,7,818162,2025-03-28,Loyal
u_002119,u_002119@example.com,0,0,2024-09-11,KR,Facebook Ads,2025-03-01,9,719082,2025-03-28,Loyal
u_010002,u_010002@example.com,1,1,2022-06-06,KR,naver_search,2024-05-30,0,0,2024-02-26,Lost
u_008229,u_008229@example.com,1,0,2024-04-17,KR,naver_search,2024-09-03,0,0,2024-08-22,Lost
u_009960,u_009960@example.com,1,0,2023-07-18,KR,Facebook Ads,,0,0,2024-06-17,Lost
u_014602,u_014602@example.com,0,0,2023-07-21,기타,organic,2025-01-06,2,230051,2025-02-22,Potential
u_011049,u_011049@example.com,0,1,2025-03-20,KR,naver_search,,0,0,2025-03-21,New
u_003696,u_003696@example.com,1,0,2024-01-28,KR,referral,2024-10-27,0,0,2025-02-01,At-Risk
u_010716,u_010716@example.com,1,1,2025-03-08,KR,googleadwords_int,,0,0,2025-03-30,New
u_004692,u_004692@example.com,1,0,2023-11-16,KR,organic,2024-11-29,0,0,2024-12-28,Hibernating
u_013861,u_013861@example.com,0,1,2024-09-10,KR,googleadwords_int,2025-01-08,2,134227,2025-03-20,Potential
u_009671,u_009671@example.com,0,1,2023-11-21,KR,googleadwords_int,2024-03-07,0,0,2024-05-25,Lost
u_005785,u_005785@example.com,1,1,2024-04-19,KR,googleadwords_int,2024-10-19,0,0,2025-02-14,Hibernating
u_000654,u_000654@example.com,0,1,2023-02-15,KR,googleadwords_int,2025-03-28,8,734988,2025-03-31,Champion
u_007756,u_007756@example.com,1,1,2024-04-20,KR,googleadwords_int,,0,0,2024-03-30,Lost
u_007350,u_007350@example.com,1,1,2024-12-10,KR,organic,2024-07-08,0,0,2024-03-20,Lost
u_004086,u_004086@example.com,0,0,2024-07-01,KR,Facebook Ads,2024-11-11,0,0,2025-02-25,At-Risk
u_010428,u_010428@example.com,1,0,2024-09-18,KR,googleadwords_int,2024-06-20,0,0,2024-06-01,Lost
u_010030,u_010030@example.com,1,0,2022-09-14,KR,referral,2024-06-26,0,0,2024-07-02,Lost
u_014182,u_014182@example.com,0,1,2023-12-03,KR,organic,2025-01-29,2,226880,2025-01-28,Potential
u_009153,u_009153@example.com,1,0,2024-09-09,KR,googleadwords_int,2024-04-06,0,0,2024-07-28,Lost
u_004400,u_004400@example.com,0,0,2022-11-21,KR,Facebook Ads,2024-10-20,0,0,2025-02-04,At-Risk
u_003499,u_003499@example.com,1,1,2023-07-22,KR,organic,2024-11-30,0,0,2025-01-30,At-Risk
u_008596,u_008596@example.com,0,0,2023-10-28,KR,organic,2024-02-27,0,0,2024-06-28,Lost
u_003680,u_003680@example.com,1,1,2022-05-25,US,Facebook Ads,2024-10-30,0,0,2025-02-01,At-Risk
u_010253,u_010253@example.com,1,1,2023-06-20,KR,naver_search,,0,0,2024-06-27,Lost
u_001973,u_001973@example.com,1,1,2023-07-21,KR,organic,2025-02-12,9,915551,2025-03-22,Loyal
u_013422,u_013422@example.com,1,0,2025-01-01,KR,referral,2025-01-23,2,178878,2025-03-05,Potential
u_004244,u_004244@example.com,0,0,2022-10-16,JP,Facebook Ads,2024-10-31,0,0,2024-12-14,At-Risk
u_003134,u_003134@example.com,0,1,2024-10-10,KR,naver_search,2024-12-20,0,0,2024-12-29,At-Risk
u_009577,u_009577@example.com,0,1,2022-09-24,KR,naver_search,2024-09-19,0,0,2024-03-02,Lost
u_001340,u_001340@example.com,1,1,2023-04-14,KR,organic,2025-02-06,9,1321161,2025-03-31,Loyal
u_004428,u_004428@example.com,1,1,2023-10-14,KR,organic,2024-10-16,0,0,2024-12-27,At-Risk
u_014982,u_014982@example.com,1,1,2024-11-24,KR,referral,2025-02-24,1,45916,2025-01-01,Potential
u_003741,u_003741@example.com,0,0,2023-10-28,KR,googleadwords_int,2024-10-27,0,0,2024-12-06,At-Risk
u_006605,u_006605@example.com,1,1,2023-10-25,KR,googleadwords_int,2024-08-27,0,0,2024-03-23,Lost
u_012663,u_012663@example.com,1,1,2024-04-22,KR,Facebook Ads,2025-01-02,3,359351,2025-03-26,Potential
u_013188,u_013188@example.com,0,0,2024-10-15,KR,Facebook Ads,2024-11-12,0,0,2025-03-08,Potential
u_001618,u_001618@example.com,1,0,2023-07-10,KR,Facebook Ads,2025-01-14,10,755044,2025-03-25,Loyal
u_013467,u_013467@example.com,1,0,2024-03-23,KR,naver_search,2025-01-26,3,293419,2025-02-02,Potential
u_005903,u_005903@example.com,0,0,2022-07-31,KR,naver_search,2024-11-20,0,0,2024-12-14,Hibernating
u_002608,u_002608@example.com,0,1,2022-11-25,KR,Facebook Ads,2024-11-15,0,0,2025-01-17,At-Risk
u_011791,u_011791@example.com,1,1,2025-01-22,KR,organic,2024-12-02,0,0,2025-02-19,Potential
u_000176,u_000176@example.com,1,0,2024-05-28,KR,googleadwords_int,2025-03-23,4,735447,2025-03-29,Champion
u_013787,u_013787@example.com,0,1,2024-05-17,KR,referral,2025-02-10,1,59391,2025-03-09,Potential
